"Politician Id","First Name","Last Name","Electoral Term","State"
11003482,"Gabriele","Lösekrug-Möller","18","Niedersachsen"
11003492,"Lale","Akgün","15","Nordrhein-Westfalen"
11003492,"Lale","Akgün","16","Nordrhein-Westfalen"
11003494,"Sabine","Bätzing","15","Rheinland-Pfalz"
11003494,"Sabine","Bätzing","16","Rheinland-Pfalz"
11003494,"Sabine","Bätzing","17","Rheinland-Pfalz"
11003494,"Sabine","Bätzing","18","Rheinland-Pfalz"
11003496,"Sören","Bartol","15","Hessen"
11003496,"Sören","Bartol","16","Hessen"
11003496,"Sören","Bartol","17","Hessen"
11003496,"Sören","Bartol","18","Hessen"
11003496,"Sören","Bartol","19","Hessen"
11003497,"Ernst Reinhard","Beck","15","Baden-Württemberg"
11003497,"Ernst Reinhard","Beck","16","Baden-Württemberg"
11003497,"Ernst Reinhard","Beck","17","Baden-Württemberg"
11003498,"Uwe","Beckmeyer","15","Bremen"
11003498,"Uwe","Beckmeyer","16","Bremen"
11003498,"Uwe","Beckmeyer","17","Bremen"
11003498,"Uwe","Beckmeyer","18","Hamburg"
11003501,"Veronika","Bellmann","15","Sachsen"
11003501,"Veronika","Bellmann","16","Sachsen"
11003501,"Veronika","Bellmann","17","Sachsen"
11003501,"Veronika","Bellmann","18","Sachsen"
11003501,"Veronika","Bellmann","19","Sachsen"
11003503,"Klaus Uwe","Benneter","15","Berlin"
11003503,"Klaus Uwe","Benneter","16","Berlin"
11003505,"Christoph","Bergner","15","Sachsen-Anhalt"
11003505,"Christoph","Bergner","16","Sachsen-Anhalt"
11003505,"Christoph","Bergner","17","Sachsen-Anhalt"
11003505,"Christoph","Bergner","18","Sachsen-Anhalt"
11003507,"Clemens","Binninger","15","Baden-Württemberg"
11003507,"Clemens","Binninger","16","Baden-Württemberg"
11003507,"Clemens","Binninger","17","Baden-Württemberg"
11003507,"Clemens","Binninger","18","Baden-Württemberg"
11003508,"Gerd","Bollmann","15","Nordrhein-Westfalen"
11003508,"Gerd","Bollmann","16","Nordrhein-Westfalen"
11003508,"Gerd","Bollmann","17","Nordrhein-Westfalen"
11003510,"Helge","Braun","15","Hessen"
11003510,"Helge","Braun","17","Hessen"
11003510,"Helge","Braun","18","Hessen"
11003510,"Helge","Braun","19","Hessen"
11003511,"Monika","Brüning","15","Niedersachsen"
11003511,"Monika","Brüning","16","Niedersachsen"
11003512,"Marco","Bülow","15","Nordrhein-Westfalen"
11003512,"Marco","Bülow","16","Nordrhein-Westfalen"
11003512,"Marco","Bülow","17","Nordrhein-Westfalen"
11003512,"Marco","Bülow","18","Nordrhein-Westfalen"
11003512,"Marco","Bülow","19","Nordrhein-Westfalen"
11003514,"Gitta","Connemann","15","Niedersachsen"
11003514,"Gitta","Connemann","16","Niedersachsen"
11003514,"Gitta","Connemann","17","Niedersachsen"
11003514,"Gitta","Connemann","18","Niedersachsen"
11003514,"Gitta","Connemann","19","Niedersachsen"
11003516,"Alexander","Dobrindt","15","Bayern"
11003516,"Alexander","Dobrindt","16","Bayern"
11003516,"Alexander","Dobrindt","17","Bayern"
11003516,"Alexander","Dobrindt","18","Bayern"
11003516,"Alexander","Dobrindt","19","Bayern"
11003517,"Martin","Dörmann","15","Nordrhein-Westfalen"
11003517,"Martin","Dörmann","16","Nordrhein-Westfalen"
11003517,"Martin","Dörmann","17","Nordrhein-Westfalen"
11003517,"Martin","Dörmann","18","Nordrhein-Westfalen"
11003518,"Vera","Dominke","15","Niedersachsen"
11003520,"Christian","Eberl","15","Niedersachsen"
11003521,"Siegmund","Ehrmann","15","Nordrhein-Westfalen"
11003521,"Siegmund","Ehrmann","16","Nordrhein-Westfalen"
11003521,"Siegmund","Ehrmann","17","Nordrhein-Westfalen"
11003521,"Siegmund","Ehrmann","18","Nordrhein-Westfalen"
11003522,"Hans","Eichel","15","Hessen"
11003522,"Hans","Eichel","16","Hessen"
11003523,"Karin","Evers-Meyer","15","Niedersachsen"
11003523,"Karin","Evers-Meyer","16","Niedersachsen"
11003523,"Karin","Evers-Meyer","17","Niedersachsen"
11003523,"Karin","Evers-Meyer","18","Niedersachsen"
11003524,"Georg","Fahrenschon","15","Bayern"
11003524,"Georg","Fahrenschon","16","Bayern"
11003525,"Enak","Ferlemann","15","Niedersachsen"
11003525,"Enak","Ferlemann","16","Niedersachsen"
11003525,"Enak","Ferlemann","17","Niedersachsen"
11003525,"Enak","Ferlemann","18","Niedersachsen"
11003525,"Enak","Ferlemann","19","Niedersachsen"
11003526,"Hartwig","Fischer","15","Niedersachsen"
11003526,"Hartwig","Fischer","16","Niedersachsen"
11003526,"Hartwig","Fischer","17","Niedersachsen"
11003527,"Maria","Flachsbarth","15","Niedersachsen"
11003527,"Maria","Flachsbarth","16","Niedersachsen"
11003527,"Maria","Flachsbarth","17","Niedersachsen"
11003527,"Maria","Flachsbarth","18","Niedersachsen"
11003527,"Maria","Flachsbarth","19","Niedersachsen"
11003528,"Klaus Peter","Flosbach","15","Nordrhein-Westfalen"
11003528,"Klaus Peter","Flosbach","16","Nordrhein-Westfalen"
11003528,"Klaus Peter","Flosbach","17","Nordrhein-Westfalen"
11003528,"Klaus Peter","Flosbach","18","Nordrhein-Westfalen"
11003529,"Gabriele","Frechen","15","Nordrhein-Westfalen"
11003529,"Gabriele","Frechen","16","Nordrhein-Westfalen"
11003531,"Michael","Fuchs","15","Rheinland-Pfalz"
11003531,"Michael","Fuchs","16","Rheinland-Pfalz"
11003531,"Michael","Fuchs","17","Rheinland-Pfalz"
11003531,"Michael","Fuchs","18","Rheinland-Pfalz"
11003532,"Peter","Gauweiler","15","Bayern"
11003532,"Peter","Gauweiler","16","Bayern"
11003532,"Peter","Gauweiler","17","Bayern"
11003532,"Peter","Gauweiler","18","Bayern"
11003534,"Eberhard","Gienger","15","Baden-Württemberg"
11003534,"Eberhard","Gienger","16","Baden-Württemberg"
11003534,"Eberhard","Gienger","17","Baden-Württemberg"
11003534,"Eberhard","Gienger","18","Baden-Württemberg"
11003534,"Eberhard","Gienger","19","Baden-Württemberg"
11003535,"Ralf","Göbel","15","Rheinland-Pfalz"
11003535,"Ralf","Göbel","16","Rheinland-Pfalz"
11003536,"Tanja","Gönner","15","Baden-Württemberg"
11003537,"Josef","Göppel","15","Bayern"
11003537,"Josef","Göppel","16","Bayern"
11003537,"Josef","Göppel","17","Bayern"
11003537,"Josef","Göppel","18","Bayern"
11003538,"Ute","Granold","15","Rheinland-Pfalz"
11003538,"Ute","Granold","16","Rheinland-Pfalz"
11003538,"Ute","Granold","17","Rheinland-Pfalz"
11003539,"Reinhard","Grindel","15","Niedersachsen"
11003539,"Reinhard","Grindel","16","Niedersachsen"
11003539,"Reinhard","Grindel","17","Niedersachsen"
11003539,"Reinhard","Grindel","18","Niedersachsen"
11003540,"Gabriele","Groneberg","15","Niedersachsen"
11003540,"Gabriele","Groneberg","16","Niedersachsen"
11003540,"Gabriele","Groneberg","17","Niedersachsen"
11003540,"Gabriele","Groneberg","18","Niedersachsen"
11003541,"Michael","Grosse-Brömer","18","Niedersachsen"
11003541,"Michael","Grosse-Brömer","19","Niedersachsen"
11003541,"Michael","Grosse-Brömer","15","Niedersachsen"
11003541,"Michael","Grosse-Brömer","16","Niedersachsen"
11003541,"Michael","Grosse-Brömer","17","Niedersachsen"
11003542,"Markus","Grübel","15","Baden-Württemberg"
11003542,"Markus","Grübel","16","Baden-Württemberg"
11003542,"Markus","Grübel","17","Baden-Württemberg"
11003542,"Markus","Grübel","18","Baden-Württemberg"
11003542,"Markus","Grübel","19","Baden-Württemberg"
11003543,"Karl Theodor","Guttenberg","15","Bayern"
11003543,"Karl Theodor","Guttenberg","16","Bayern"
11003543,"Karl Theodor","Guttenberg","17","Bayern"
